Month;Article Amount;Qualified Organic Articles;Qualified Articles;Organic MAU;All MAU;SEO Cost;All Cost;Backlink dr Content;Backlink dari Digital Marketing
Oct-19;625;14;23;1,328,663;3,321,585;25,000,000;142,625,874;0;128
Nov-19;649;23;64;1,541,422;3,708,059;25,000,000;129,329,962;0;133
Dec-19;749;28;35;1,733,726;3,837,149;25,000,000;104,628,408;0;126
Jan-20;690;13;33;1,970,392;3,864,925;25,000,000;35,353,782;0;132
Feb-20;865;7;27;1,975,368;4,037,417;15,000,000;44,992,157;0;72
Mar-20;728;21;33;2,554,508;4,274,795;0;45,172,665;0;0
